Category,Subcategory,Sub_Subcategory,Semester,Year,Internal,Subject_Code,Subject_Name,Module,Title,Telegram_File_ID,File_Name,Notes
Question Papers,Internal Examination,Second Internal,2,2024,2,M24CA1L207,Operating Systems Lab,,Second Internal 2024,,,
Question Papers,Semester Examination,,2,2025,,M24CA1L207,Operating Systems Lab,,Semester Exam 2025,,,
Question Papers,Internal Examination,First Internal,2,2025,1,M24CA1L207,Operating Systems Lab,,First Internal 2025,,,
Question Papers,Internal Examination,Second Internal,2,2025,2,M24CA1L207,Operating Systems Lab,,Second Internal 2025,,,
Question Papers,Sample Papers,,2,,,M24CA1N208,PDLES,,Sample Paper,,,
Question Papers,Semester Examination,,2,2024,,M24CA1N208,PDLES,,Semester Exam 2024,,,
Question Papers,Internal Examination,First Internal,2,2024,1,M24CA1N208,PDLES,,First Internal 2024,,,
Question Papers,Internal Examination,Second Internal,2,2024,2,M24CA1N208,PDLES,,Second Internal 2024,,,
Question Papers,Semester Examination,,2,2025,,M24CA1N208,PDLES,,Semester Exam 2025,,,
Question Papers,Internal Examination,First Internal,2,2025,1,M24CA1N208,PDLES,,First Internal 2025,,,
Question Papers,Internal Examination,Second Internal,2,2025,2,M24CA1N208,PDLES,,Second Internal 2025,,,
Question Papers,Sample Papers,,3,,,M24CA1C301,Data Science and ML,,Sample Paper,,,
Question Papers,Semester Examination,,3,2024,,M24CA1C301,Data Science and ML,,Semester Exam 2024,,,
Question Papers,Internal Examination,First Internal,3,2024,1,M24CA1C301,Data Science and ML,,First Internal 2024,,,
Question Papers,Internal Examination,Second Internal,3,2024,2,M24CA1C301,Data Science and ML,,Second Internal 2024,,,
Question Papers,Semester Examination,,3,2025,,M24CA1C301,Data Science and ML,,Semester Exam 2025,,,
Question Papers,Internal Examination,First Internal,3,2025,1,M24CA1C301,Data Science and ML,,First Internal 2025,,,
Question Papers,Internal Examination,Second Internal,3,2025,2,M24CA1C301,Data Science and ML,,Second Internal 2025,,,
Question Papers,Sample Papers,,3,,,M24CA1C302,DAA,,Sample Paper,,,
Question Papers,Semester Examination,,3,2024,,M24CA1C302,DAA,,Semester Exam 2024,,,
Question Papers,Internal Examination,First Internal,3,2024,1,M24CA1C302,DAA,,First Internal 2024,,,
Question Papers,Internal Examination,Second Internal,3,2024,2,M24CA1C302,DAA,,Second Internal 2024,,,
Question Papers,Semester Examination,,3,2025,,M24CA1C302,DAA,,Semester Exam 2025,,,
Question Papers,Internal Examination,First Internal,3,2025,1,M24CA1C302,DAA,,First Internal 2025,,,
Question Papers,Internal Examination,Second Internal,3,2025,2,M24CA1C302,DAA,,Second Internal 2025,,,
Question Papers,Sample Papers,,3,,,M24CA1E303A,Artificial Intelligence,,Sample Paper,,,
Question Papers,Semester Examination,,3,2024,,M24CA1E303A,Artificial Intelligence,,Semester Exam 2024,,,
Question Papers,Internal Examination,First Internal,3,2024,1,M24CA1E303A,Artificial Intelligence,,First Internal 2024,,,
Question Papers,Internal Examination,Second Internal,3,2024,2,M24CA1E303A,Artificial Intelligence,,Second Internal 2024,,,
Question Papers,Semester Examination,,3,2025,,M24CA1E303A,Artificial Intelligence,,Semester Exam 2025,,,
Question Papers,Internal Examination,First Internal,3,2025,1,M24CA1E303A,Artificial Intelligence,,First Internal 2025,,,
Question Papers,Internal Examination,Second Internal,3,2025,2,M24CA1E303A,Artificial Intelligence,,Second Internal 2025,,,
Question Papers,Sample Papers,,3,,,M24CA1E303D,Big Data,,Sample Paper,,,
Question Papers,Semester Examination,,3,2024,,M24CA1E303D,Big Data,,Semester Exam 2024,,,
Question Papers,Internal Examination,First Internal,3,2024,1,M24CA1E303D,Big Data,,First Internal 2024,,,
Question Papers,Internal Examination,Second Internal,3,2024,2,M24CA1E303D,Big Data,,Second Internal 2024,,,
Question Papers,Semester Examination,,3,2025,,M24CA1E303D,Big Data,,Semester Exam 2025,,,
Question Papers,Internal Examination,First Internal,3,2025,1,M24CA1E303D,Big Data,,First Internal 2025,,,
Question Papers,Internal Examination,Second Internal,3,2025,2,M24CA1E303D,Big Data,,Second Internal 2025,,,
Question Papers,Sample Papers,,3,,,M24CA1E304A,Deep Learning,,Sample Paper,,,
Question Papers,Semester Examination,,3,2024,,M24CA1E304A,Deep Learning,,Semester Exam 2024,,,
Question Papers,Internal Examination,First Internal,3,2024,1,M24CA1E304A,Deep Learning,,First Internal 2024,,,
Question Papers,Internal Examination,Second Internal,3,2024,2,M24CA1E304A,Deep Learning,,Second Internal 2024,,,
Question Papers,Semester Examination,,3,2025,,M24CA1E304A,Deep Learning,,Semester Exam 2025,,,
Question Papers,Internal Examination,First Internal,3,2025,1,M24CA1E304A,Deep Learning,,First Internal 2025,,,
Question Papers,Internal Examination,Second Internal,3,2025,2,M24CA1E304A,Deep Learning,,Second Internal 2025,,,
Question Papers,Sample Papers,,3,,,M24CA1E304D,Cloud with AWS,,Sample Paper,,,
Question Papers,Semester Examination,,3,2024,,M24CA1E304D,Cloud with AWS,,Semester Exam 2024,,,
Question Papers,Internal Examination,First Internal,3,2024,1,M24CA1E304D,Cloud with AWS,,First Internal 2024,,,
Question Papers,Internal Examination,Second Internal,3,2024,2,M24CA1E304D,Cloud with AWS,,Second Internal 2024,,,
Question Papers,Semester Examination,,3,2025,,M24CA1E304D,Cloud with AWS,,Semester Exam 2025,,,
Question Papers,Internal Examination,First Internal,3,2025,1,M24CA1E304D,Cloud with AWS,,First Internal 2025,,,
Question Papers,Internal Examination,Second Internal,3,2025,2,M24CA1E304D,Cloud with AWS,,Second Internal 2025,,,
Question Papers,Sample Papers,,3,,,M24CA1B305,Mobile App Lab,,Sample Paper,,,
Question Papers,Semester Examination,,3,2024,,M24CA1B305,Mobile App Lab,,Semester Exam 2024,,,
Question Papers,Internal Examination,First Internal,3,2024,1,M24CA1B305,Mobile App Lab,,First Internal 2024,,,
Question Papers,Internal Examination,Second Internal,3,2024,2,M24CA1B305,Mobile App Lab,,Second Internal 2024,,,
Question Papers,Semester Examination,,3,2025,,M24CA1B305,Mobile App Lab,,Semester Exam 2025,,,
Question Papers,Internal Examination,First Internal,3,2025,1,M24CA1B305,Mobile App Lab,,First Internal 2025,,,
Question Papers,Internal Examination,Second Internal,3,2025,2,M24CA1B305,Mobile App Lab,,Second Internal 2025,,,
Question Papers,Sample Papers,,3,,,M24CA1L306,Data Science Lab,,Sample Paper,,,
Question Papers,Semester Examination,,3,2024,,M24CA1L306,Data Science Lab,,Semester Exam 2024,,,
Question Papers,Internal Examination,First Internal,3,2024,1,M24CA1L306,Data Science Lab,,First Internal 2024,,,
Question Papers,Internal Examination,Second Internal,3,2024,2,M24CA1L306,Data Science Lab,,Second Internal 2024,,,
Question Papers,Semester Examination,,3,2025,,M24CA1L306,Data Science Lab,,Semester Exam 2025,,,
Question Papers,Internal Examination,First Internal,3,2025,1,M24CA1L306,Data Science Lab,,First Internal 2025,,,
Question Papers,Internal Examination,Second Internal,3,2025,2,M24CA1L306,Data Science Lab,,Second Internal 2025,,,
Question Papers,Sample Papers,,3,,,M24CA1N308,Professional Ethics,,Sample Paper,,,
Question Papers,Semester Examination,,3,2024,,M24CA1N308,Professional Ethics,,Semester Exam 2024,,,
Question Papers,Internal Examination,First Internal,3,2024,1,M24CA1N308,Professional Ethics,,First Internal 2024,,,
Question Papers,Internal Examination,Second Internal,3,2024,2,M24CA1N308,Professional Ethics,,Second Internal 2024,,,
Question Papers,Semester Examination,,3,2025,,M24CA1N308,Professional Ethics,,Semester Exam 2025,,,
Question Papers,Internal Examination,First Internal,3,2025,1,M24CA1N308,Professional Ethics,,First Internal 2025,,,
Question Papers,Internal Examination,Second Internal,3,2025,2,M24CA1N308,Professional Ethics,,Second Internal 2025,,,
Lab Manuals,Record Samples,,1,,,M24CA1B105,Web Development Lab,,Record Sample,,,
Lab Manuals,Lab Question Papers,,1,2024,,M24CA1B105,Web Development Lab,,Lab Question Paper,,,
Lab Manuals,Lab Question Papers,,1,2025,,M24CA1B105,Web Development Lab,,Lab Question Paper,,,
Lab Manuals,Viva Questions,,1,,,M24CA1B105,Web Development Lab,,Viva Questions,,,
Lab Manuals,Micro Projects,,1,,,M24CA1B105,Web Development Lab,,Micro Project Sample 1,,,
Lab Manuals,Micro Projects,,1,,,M24CA1B105,Web Development Lab,,Micro Project Sample 2,,,
Lab Manuals,Record Samples,,1,,,M24CA1L106,Programming Lab,,Record Sample,,,
Lab Manuals,Lab Question Papers,,1,2024,,M24CA1L106,Programming Lab,,Lab Question Paper,,,
Lab Manuals,Lab Question Papers,,1,2025,,M24CA1L106,Programming Lab,,Lab Question Paper,,,
Lab Manuals,Viva Questions,,1,,,M24CA1L106,Programming Lab,,Viva Questions,,,
Lab Manuals,Micro Projects,,1,,,M24CA1L106,Programming Lab,,Micro Project Sample 1,,,
Lab Manuals,Micro Projects,,1,,,M24CA1L106,Programming Lab,,Micro Project Sample 2,,,
Lab Manuals,Record Samples,,1,,,M24CA1L107,Data Structures Lab,,Record Sample,,,
Lab Manuals,Lab Question Papers,,1,2024,,M24CA1L107,Data Structures Lab,,Lab Question Paper,,,
Lab Manuals,Lab Question Papers,,1,2025,,M24CA1L107,Data Structures Lab,,Lab Question Paper,,,
Lab Manuals,Viva Questions,,1,,,M24CA1L107,Data Structures Lab,,Viva Questions,,,
Lab Manuals,Record Samples,,1,,,M24CA1N108,Research Methodology,,Record Sample,,,
Lab Manuals,Lab Question Papers,,1,2024,,M24CA1N108,Research Methodology,,Lab Question Paper,,,
Lab Manuals,Lab Question Papers,,1,2025,,M24CA1N108,Research Methodology,,Lab Question Paper,,,
Lab Manuals,Viva Questions,,1,,,M24CA1N108,Research Methodology,,Viva Questions,,,
Lab Manuals,Record Samples,,2,,,M24CA1B205,OOP Lab,,Record Sample,,,
Lab Manuals,Lab Question Papers,,2,2024,,M24CA1B205,OOP Lab,,Lab Question Paper,,,
Lab Manuals,Lab Question Papers,,2,2025,,M24CA1B205,OOP Lab,,Lab Question Paper,,,
Lab Manuals,Viva Questions,,2,,,M24CA1B205,OOP Lab,,Viva Questions,,,
